,id,label,geometry,service,super_category,category,sub_category,note,date
0,114848,Buildings (ki),"Polygon;[587355.58, 587354.34, 587345.69, 587345.43, 587341.9, 587343.4, 587355.58],[6141054.77, 6141056.99, 6141052.16, 6141052.62, 6141050.65, 6141047.98, 6141054.77]",kortopslag,,,,,
1,69994,Buildings (ki),"Polygon;[587285.5, 587262.01, 587261.94, 587261.81, 587283.65, 587283.62, 587272.97, 587272.93, 587276.26, 587276.25, 587285.28, 587285.29, 587288.31, 587288.34, 587288.4, 587285.34, 587285.43, 587285.5],[6141057.62, 6141057.73, 6141042.41, 6141013.6, 6141013.5, 6141008.71, 6141008.76, 6141001.57, 6141001.55, 6140998.77, 6140998.73, 6141001.18, 6141001.16, 6141007.39, 6141021.48, 6141021.49, 6141042.31, 6141057.62]",kortopslag,,,,,
2,54050,Buildings (ki),"Polygon;[587337.65, 587330.42, 587331.33, 587328.4, 587327.38, 587320.1, 587271.59, 587274.3, 587271.77, 587283.77, 587284.02, 587286.73, 587337.65],[6141129.75, 6141142.35, 6141142.87, 6141147.96, 6141147.37, 6141160.05, 6141132.22, 6141127.49, 6141126.04, 6141105.12, 6141105.26, 6141100.54, 6141129.75]",kortopslag,,,,,
3,44495,Buildings (ki),"Polygon;[587369.77, 587359.45, 587359.82, 587354.66, 587349.42, 587349.54, 587341.39, 587346.25, 587346.86, 587347.34, 587308.24, 587317.4, 587319.45, 587325.21, 587325.33, 587369.77],[6141073.34, 6141091.3, 6141091.51, 6141100.48, 6141097.47, 6141097.25, 6141092.56, 6141084.12, 6141084.48, 6141083.65, 6141061.17, 6141045.23, 6141044.69, 6141048.0, 6141047.79, 6141073.34]",kortopslag,,,,,
4,98097,Buildings (ki),"Polygon;[587274.06, 587270.92, 587272.38, 587275.52, 587274.06],[6141093.34, 6141091.47, 6141089.02, 6141090.89, 6141093.34]",kortopslag,,,,,
5,27508,Buildings (ki),"Polygon;[587247.37, 587249.6, 587262.28, 587260.05, 587247.37],[6141079.56, 6141075.67, 6141082.93, 6141086.82, 6141079.56]",kortopslag,,,,,
6,27956,Park Trees (ki),"Point;[587255.324],[6141145.1875]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-05-14T11:49:20.960Z
7,903,Park Points (ki),"Point;[587308.6652],[6141075.112]",kortopslag,UDSTYR,Legeudstyr,Legeudstyr,,2020-01-10T11:17:50.237Z
8,3614,Park Points (ki),"Point;[587253.0884],[6141062.99]",kortopslag,UDSTYR,Legeudstyr,Legeudstyr,,2020-01-10T11:17:50.237Z
9,5188,Park Points (ki),"Point;[587312.2684],[6141077.4915]",kortopslag,UDSTYR,Legeudstyr,Legeudstyr,,2020-01-10T11:17:50.237Z
10,5191,Park Points (ki),"Point;[587317.5028],[6141104.45225]",kortopslag,UDSTYR,Legeudstyr,Legeudstyr,,2020-01-10T11:17:50.237Z
11,5193,Park Points (ki),"Point;[587254.8132],[6141062.24475]",kortopslag,UDSTYR,Legeudstyr,Legeudstyr,,2020-01-10T11:17:50.237Z
12,6611,Park Points (ki),"Point;[587252.7936],[6141065.09925]",kortopslag,UDSTYR,Legeudstyr,Legeudstyr,,2020-01-10T11:17:50.237Z
13,6612,Park Points (ki),"Point;[587251.2124],[6141068.18475]",kortopslag,UDSTYR,Legeudstyr,Legeudstyr,,2020-01-10T11:17:50.237Z
14,8203,Park Points (ki),"Point;[587304.8472],[6141073.03225]",kortopslag,UDSTYR,Legeudstyr,Legeudstyr,,2020-01-10T11:17:50.237Z
15,9829,Park Points (ki),"Point;[587307.378],[6141091.22725]",kortopslag,UDSTYR,Legeudstyr,Legeudstyr,,2020-01-10T11:17:50.237Z
16,11229,Park Points (ki),"Point;[587291.648],[6141082.78925]",kortopslag,UDSTYR,Legeudstyr,Legeudstyr,,2020-01-10T11:17:50.237Z
